id,title,description,incident_type,severity,status,date,created_at,reported_by
56,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2024-02-26,2024-02-26 00:00:00,admin
57,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2024-02-27,2024-02-27 00:00:00,analyst1
58,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2024-02-28,2024-02-28 00:00:00,analyst2
59,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2024-02-29,2024-02-29 00:00:00,soc_user
60,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2024-03-01,2024-03-01 00:00:00,admin
61,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2024-03-02,2024-03-02 00:00:00,analyst1
62,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2024-03-03,2024-03-03 00:00:00,analyst2
63,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2024-03-04,2024-03-04 00:00:00,soc_user
64,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2024-03-05,2024-03-05 00:00:00,admin
65,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2024-03-06,2024-03-06 00:00:00,analyst1
66,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2024-03-07,2024-03-07 00:00:00,analyst2
67,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2024-03-08,2024-03-08 00:00:00,soc_user
68,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2024-03-09,2024-03-09 00:00:00,admin
69,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2024-03-10,2024-03-10 00:00:00,analyst1
70,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2024-03-11,2024-03-11 00:00:00,analyst2
71,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2024-03-12,2024-03-12 00:00:00,soc_user
72,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2024-03-13,2024-03-13 00:00:00,admin
73,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2024-03-14,2024-03-14 00:00:00,analyst1
74,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2024-03-15,2024-03-15 00:00:00,analyst2
75,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2024-03-16,2024-03-16 00:00:00,soc_user
76,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2024-03-17,2024-03-17 00:00:00,admin
77,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2024-03-18,2024-03-18 00:00:00,analyst1
78,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2024-03-19,2024-03-19 00:00:00,analyst2
79,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2024-03-20,2024-03-20 00:00:00,soc_user
80,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2024-03-21,2024-03-21 00:00:00,admin
81,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2024-03-22,2024-03-22 00:00:00,analyst1
82,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2024-03-23,2024-03-23 00:00:00,analyst2
83,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2024-03-24,2024-03-24 00:00:00,soc_user
84,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2024-03-25,2024-03-25 00:00:00,admin
85,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2024-03-26,2024-03-26 00:00:00,analyst1
86,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2024-03-27,2024-03-27 00:00:00,analyst2
87,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2024-03-28,2024-03-28 00:00:00,soc_user
88,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2024-03-29,2024-03-29 00:00:00,admin
89,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2024-03-30,2024-03-30 00:00:00,analyst1
90,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2024-03-31,2024-03-31 00:00:00,analyst2
91,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2024-04-01,2024-04-01 00:00:00,soc_user
92,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2024-04-02,2024-04-02 00:00:00,admin
93,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2024-04-03,2024-04-03 00:00:00,analyst1
94,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2024-04-04,2024-04-04 00:00:00,analyst2
95,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2024-04-05,2024-04-05 00:00:00,soc_user
96,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2024-04-06,2024-04-06 00:00:00,admin
97,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2024-04-07,2024-04-07 00:00:00,analyst1
98,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2024-04-08,2024-04-08 00:00:00,analyst2
99,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2024-04-09,2024-04-09 00:00:00,soc_user
100,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2024-04-10,2024-04-10 00:00:00,admin
101,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2024-04-11,2024-04-11 00:00:00,analyst1
102,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2024-04-12,2024-04-12 00:00:00,analyst2
103,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2024-04-13,2024-04-13 00:00:00,soc_user
104,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2024-04-14,2024-04-14 00:00:00,admin
105,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2024-04-15,2024-04-15 00:00:00,analyst1
106,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2024-04-16,2024-04-16 00:00:00,analyst2
107,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2024-04-17,2024-04-17 00:00:00,soc_user
108,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2024-04-18,2024-04-18 00:00:00,admin
109,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2024-04-19,2024-04-19 00:00:00,analyst1
110,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2024-04-20,2024-04-20 00:00:00,analyst2
111,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2024-04-21,2024-04-21 00:00:00,soc_user
112,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2024-04-22,2024-04-22 00:00:00,admin
113,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2024-04-23,2024-04-23 00:00:00,analyst1
114,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2024-04-24,2024-04-24 00:00:00,analyst2
115,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2024-04-25,2024-04-25 00:00:00,soc_user
116,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2024-04-26,2024-04-26 00:00:00,admin
117,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2024-04-27,2024-04-27 00:00:00,analyst1
118,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2024-04-28,2024-04-28 00:00:00,analyst2
119,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2024-04-29,2024-04-29 00:00:00,soc_user
120,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2024-04-30,2024-04-30 00:00:00,admin
121,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2024-05-01,2024-05-01 00:00:00,analyst1
122,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2024-05-02,2024-05-02 00:00:00,analyst2
123,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2024-05-03,2024-05-03 00:00:00,soc_user
124,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2024-05-04,2024-05-04 00:00:00,admin
125,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2024-05-05,2024-05-05 00:00:00,analyst1
126,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2024-05-06,2024-05-06 00:00:00,analyst2
127,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2024-05-07,2024-05-07 00:00:00,soc_user
128,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2024-05-08,2024-05-08 00:00:00,admin
129,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2024-05-09,2024-05-09 00:00:00,analyst1
130,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2024-05-10,2024-05-10 00:00:00,analyst2
131,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2024-05-11,2024-05-11 00:00:00,soc_user
132,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2024-05-12,2024-05-12 00:00:00,admin
133,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2024-05-13,2024-05-13 00:00:00,analyst1
134,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2024-05-14,2024-05-14 00:00:00,analyst2
135,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2024-05-15,2024-05-15 00:00:00,soc_user
136,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2024-05-16,2024-05-16 00:00:00,admin
137,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2024-05-17,2024-05-17 00:00:00,analyst1
138,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2024-05-18,2024-05-18 00:00:00,analyst2
139,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2024-05-19,2024-05-19 00:00:00,soc_user
140,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2024-05-20,2024-05-20 00:00:00,admin
141,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2024-05-21,2024-05-21 00:00:00,analyst1
142,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2024-05-22,2024-05-22 00:00:00,analyst2
143,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2024-05-23,2024-05-23 00:00:00,soc_user
144,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2024-05-24,2024-05-24 00:00:00,admin
145,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2024-05-25,2024-05-25 00:00:00,analyst1
146,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2024-05-26,2024-05-26 00:00:00,analyst2
147,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2024-05-27,2024-05-27 00:00:00,soc_user
148,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2024-05-28,2024-05-28 00:00:00,admin
149,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2024-05-29,2024-05-29 00:00:00,analyst1
150,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2024-05-30,2024-05-30 00:00:00,analyst2
151,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2024-05-31,2024-05-31 00:00:00,soc_user
152,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2024-06-01,2024-06-01 00:00:00,admin
153,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2024-06-02,2024-06-02 00:00:00,analyst1
154,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2024-06-03,2024-06-03 00:00:00,analyst2
155,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2024-06-04,2024-06-04 00:00:00,soc_user
156,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2024-06-05,2024-06-05 00:00:00,admin
157,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2024-06-06,2024-06-06 00:00:00,analyst1
158,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2024-06-07,2024-06-07 00:00:00,analyst2
159,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2024-06-08,2024-06-08 00:00:00,soc_user
160,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2024-06-09,2024-06-09 00:00:00,admin
161,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2024-06-10,2024-06-10 00:00:00,analyst1
162,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2024-06-11,2024-06-11 00:00:00,analyst2
163,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2024-06-12,2024-06-12 00:00:00,soc_user
164,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2024-06-13,2024-06-13 00:00:00,admin
165,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2024-06-14,2024-06-14 00:00:00,analyst1
166,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2024-06-15,2024-06-15 00:00:00,analyst2
167,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2024-06-16,2024-06-16 00:00:00,soc_user
168,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2024-06-17,2024-06-17 00:00:00,admin
169,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2024-06-18,2024-06-18 00:00:00,analyst1
170,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2024-06-19,2024-06-19 00:00:00,analyst2
171,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2024-06-20,2024-06-20 00:00:00,soc_user
172,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2024-06-21,2024-06-21 00:00:00,admin
173,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2024-06-22,2024-06-22 00:00:00,analyst1
174,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2024-06-23,2024-06-23 00:00:00,analyst2
175,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2024-06-24,2024-06-24 00:00:00,soc_user
176,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2024-06-25,2024-06-25 00:00:00,admin
177,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2024-06-26,2024-06-26 00:00:00,analyst1
178,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2024-06-27,2024-06-27 00:00:00,analyst2
179,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2024-06-28,2024-06-28 00:00:00,soc_user
180,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2024-06-29,2024-06-29 00:00:00,admin
181,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2024-06-30,2024-06-30 00:00:00,analyst1
182,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2024-07-01,2024-07-01 00:00:00,analyst2
183,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2024-07-02,2024-07-02 00:00:00,soc_user
184,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2024-07-03,2024-07-03 00:00:00,admin
185,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2024-07-04,2024-07-04 00:00:00,analyst1
186,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2024-07-05,2024-07-05 00:00:00,analyst2
187,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2024-07-06,2024-07-06 00:00:00,soc_user
188,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2024-07-07,2024-07-07 00:00:00,admin
189,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2024-07-08,2024-07-08 00:00:00,analyst1
190,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2024-07-09,2024-07-09 00:00:00,analyst2
191,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2024-07-10,2024-07-10 00:00:00,soc_user
192,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2024-07-11,2024-07-11 00:00:00,admin
193,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2024-07-12,2024-07-12 00:00:00,analyst1
194,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2024-07-13,2024-07-13 00:00:00,analyst2
195,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2024-07-14,2024-07-14 00:00:00,soc_user
196,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2024-07-15,2024-07-15 00:00:00,admin
197,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2024-07-16,2024-07-16 00:00:00,analyst1
198,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2024-07-17,2024-07-17 00:00:00,analyst2
199,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2024-07-18,2024-07-18 00:00:00,soc_user
200,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2024-07-19,2024-07-19 00:00:00,admin
201,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2024-07-20,2024-07-20 00:00:00,analyst1
202,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2024-07-21,2024-07-21 00:00:00,analyst2
203,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2024-07-22,2024-07-22 00:00:00,soc_user
204,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2024-07-23,2024-07-23 00:00:00,admin
205,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2024-07-24,2024-07-24 00:00:00,analyst1
206,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2024-07-25,2024-07-25 00:00:00,analyst2
207,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2024-07-26,2024-07-26 00:00:00,soc_user
208,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2024-07-27,2024-07-27 00:00:00,admin
209,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2024-07-28,2024-07-28 00:00:00,analyst1
